compania,videoperitacion,fecha_entrada,perito,provincia,honorario_gabinete,honorario_perito,tasacion_origen,tiempo_resolucion_dias
Linea Directa,Si,2024-08-21,Perito C,Barcelona,35,47,7351,8.8
Generali,No,2024-01-29,Perito D,Valencia,41,22,5643,3.4
Mutua,Si,2024-09-22,Perito C,Zaragoza,27,46,7500,3.9
Linea Directa,No,2024-01-14,Perito B,Zaragoza,39,42,3135,6.0
Mapfre,No,2025-06-02,Perito B,Sevilla,33,29,4076,3.5
Mapfre,No,2024-02-02,Perito D,Sevilla,58,37,6159,3.8
Mutua,Si,2024-06-15,Perito D,Málaga,56,38,326,1.5
Mapfre,Si,2025-01-24,Perito B,Barcelona,53,27,3377,5.8
AXA,Si,2025-03-07,Perito C,Sevilla,30,35,3256,2.6
Generali,No,2025-06-07,Perito D,Valencia,59,26,803,5.0
Mapfre,No,2024-08-26,Perito C,Madrid,52,27,3649,5.2
AXA,Si,2024-05-13,Perito D,Madrid,50,37,6224,5.9
Mutua,No,2025-02-11,Perito A,Madrid,53,42,5309,5.9
Generali,Si,2025-02-21,Perito C,Málaga,26,28,4346,2.5
Mutua,No,2024-03-15,Perito B,Sevilla,42,31,7396,6.0
Generali,No,2024-11-17,Perito A,Barcelona,26,38,3733,4.3
Mapfre,No,2024-05-16,Perito C,Barcelona,44,48,3567,3.5
Mapfre,Si,2025-01-26,Perito D,Málaga,22,36,3568,3.4
Generali,Si,2024-03-02,Perito B,Valencia,57,24,3997,2.8
AXA,Si,2024-05-08,Perito D,Zaragoza,39,22,7122,2.5
AXA,No,2025-06-24,Perito C,Sevilla,53,35,5726,4.3
AXA,No,2025-04-29,Perito A,Sevilla,49,21,1992,4.7
Allianz,No,2024-04-13,Perito C,Valencia,36,40,3061,3.1
Linea Directa,No,2025-06-01,Perito B,Valencia,29,27,5932,2.2
Linea Directa,Si,2024-03-28,Perito A,Sevilla,54,30,3676,3.6
Linea Directa,Si,2025-03-09,Perito B,Sevilla,39,44,3617,3.6
AXA,No,2024-02-21,Perito D,Madrid,37,45,1845,4.9
Mapfre,Si,2025-01-23,Perito A,Barcelona,46,19,6763,6.8
Allianz,No,2024-08-31,Perito C,Madrid,55,46,1405,4.3
AXA,No,2024-05-26,Perito D,Madrid,42,30,3230,6.5
Mapfre,Si,2024-09-13,Perito D,Barcelona,51,23,3072,3.4
Allianz,Si,2024-12-11,Perito C,Málaga,29,36,3272,2.9
Mapfre,Si,2024-03-05,Perito D,Zaragoza,30,28,2054,1.9
Generali,No,2024-06-01,Perito B,Málaga,57,30,4221,4.5
Mapfre,No,2024-09-09,Perito C,Málaga,25,34,4862,5.1
Allianz,No,2024-08-13,Perito D,Málaga,53,29,6714,6.1
AXA,Si,2024-10-14,Perito A,Valencia,55,40,5231,3.7
Linea Directa,Si,2024-08-31,Perito C,Madrid,56,23,6230,4.3
Allianz,Si,2024-10-14,Perito C,Valencia,36,15,2908,3.1
AXA,Si,2025-03-03,Perito D,Valencia,59,49,3702,2.3
AXA,Si,2025-05-02,Perito C,Barcelona,59,34,7312,4.3
Mutua,Si,2024-05-29,Perito C,Málaga,31,20,1532,3.7
Generali,Si,2024-09-23,Perito C,Sevilla,40,24,7504,5.7
Mutua,No,2025-03-12,Perito C,Málaga,59,47,401,1.7
Linea Directa,Si,2024-10-29,Perito C,Madrid,38,30,3707,4.1
Allianz,Si,2024-06-20,Perito C,Valencia,22,20,6656,4.8
Mutua,No,2024-03-14,Perito B,Madrid,37,33,4412,7.4
Linea Directa,No,2024-12-18,Perito D,Valencia,38,45,5232,4.2
AXA,Si,2024-07-06,Perito B,Valencia,25,16,774,3.1
Allianz,No,2025-01-15,Perito D,Valencia,35,32,6587,4.3
Mutua,Si,2024-10-19,Perito C,Sevilla,27,42,736,2.7
Mapfre,Si,2025-03-06,Perito D,Málaga,37,18,1825,3.0
Linea Directa,Si,2024-04-16,Perito B,Valencia,58,15,2322,3.1
Linea Directa,No,2024-06-27,Perito D,Barcelona,31,30,585,3.7
Generali,No,2025-03-16,Perito C,Zaragoza,29,16,3481,5.1
Mapfre,Si,2024-05-25,Perito C,Zaragoza,26,15,674,3.6
Allianz,No,2025-05-13,Perito C,Valencia,20,37,617,3.4
Mutua,Si,2024-02-05,Perito B,Málaga,55,40,6690,5.3
AXA,Si,2024-03-17,Perito A,Málaga,40,25,3800,3.2
Mutua,No,2025-06-14,Perito C,Sevilla,56,15,6983,4.9
Allianz,No,2024-12-17,Perito C,Valencia,43,25,5234,6.3
Allianz,No,2024-04-04,Perito D,Barcelona,44,38,1154,1.0
Allianz,Si,2024-12-18,Perito A,Sevilla,26,24,5171,4.0
Allianz,No,2024-09-19,Perito D,Sevilla,36,28,5058,4.4
Linea Directa,No,2024-03-04,Perito B,Valencia,48,28,5498,3.7
Mutua,No,2025-01-21,Perito A,Valencia,49,21,1405,5.0
Mapfre,Si,2024-04-03,Perito C,Sevilla,26,37,4959,3.6
AXA,Si,2024-04-07,Perito A,Sevilla,52,36,4320,4.7
AXA,Si,2025-05-13,Perito C,Sevilla,26,41,2190,4.2
Generali,Si,2025-02-11,Perito B,Madrid,43,16,5499,6.1
Linea Directa,Si,2025-05-04,Perito D,Sevilla,30,33,5005,2.8
Allianz,No,2024-04-29,Perito B,Málaga,28,21,3772,3.1
Allianz,No,2024-10-22,Perito B,Zaragoza,31,26,6175,4.7
Allianz,Si,2024-02-18,Perito C,Barcelona,54,17,5480,5.0
Linea Directa,No,2025-06-23,Perito D,Barcelona,23,19,6520,3.9
Mapfre,Si,2024-03-21,Perito B,Zaragoza,55,22,4580,5.1
Allianz,Si,2024-08-03,Perito A,Valencia,47,28,4358,4.1
Generali,Si,2025-06-11,Perito B,Sevilla,32,21,5298,3.5
Generali,Si,2024-11-07,Perito C,Barcelona,42,21,4957,2.7
Mapfre,Si,2024-04-08,Perito A,Barcelona,38,46,2913,4.5
Linea Directa,Si,2024-10-31,Perito A,Málaga,56,22,2403,3.4
Allianz,No,2025-02-27,Perito D,Málaga,58,26,5788,3.6
Mutua,No,2024-02-17,Perito A,Madrid,43,24,3320,5.9
Mutua,No,2025-01-13,Perito A,Zaragoza,35,28,1166,3.8
AXA,No,2024-01-10,Perito C,Madrid,52,23,5144,4.1
Mapfre,No,2025-04-11,Perito D,Barcelona,31,44,5403,6.0
Mutua,No,2024-11-25,Perito B,Valencia,53,19,3632,6.7
AXA,Si,2024-03-13,Perito A,Barcelona,26,15,888,5.6
Generali,Si,2024-01-27,Perito B,Valencia,30,15,4443,4.0
AXA,Si,2024-06-01,Perito B,Barcelona,50,34,3901,4.6
Allianz,Si,2024-01-05,Perito B,Málaga,48,25,541,1.0
Allianz,No,2024-02-04,Perito D,Sevilla,32,40,6819,5.0
Generali,Si,2025-04-30,Perito B,Barcelona,50,17,5382,4.5
Mapfre,No,2024-05-28,Perito C,Madrid,21,20,1924,2.1
Linea Directa,No,2024-09-15,Perito D,Valencia,58,25,5679,4.0
Allianz,No,2025-03-03,Perito D,Valencia,34,22,6904,4.2
Allianz,No,2025-03-03,Perito D,Barcelona,30,43,4622,3.5
AXA,No,2024-06-18,Perito D,Valencia,53,24,1992,3.1
AXA,No,2025-03-23,Perito A,Madrid,58,48,1959,3.7
AXA,Si,2025-02-03,Perito A,Málaga,23,38,3412,4.0
Mutua,Si,2024-07-31,Perito B,Sevilla,30,31,1189,3.0
Generali,Si,2024-07-24,Perito A,Sevilla,48,46,2462,1.3
Mapfre,Si,2025-01-31,Perito D,Valencia,21,25,2682,2.0
AXA,Si,2025-04-01,Perito B,Barcelona,35,48,1151,2.9
Mapfre,Si,2025-01-11,Perito C,Valencia,58,38,922,2.1
AXA,Si,2025-06-07,Perito A,Madrid,32,19,3589,2.2
Allianz,No,2025-04-12,Perito D,Zaragoza,56,43,2279,3.6
Mapfre,No,2025-01-11,Perito B,Barcelona,36,48,2917,6.5
Mutua,Si,2025-01-30,Perito A,Málaga,40,30,2532,4.9
AXA,Si,2025-02-20,Perito D,Madrid,38,39,3576,4.6
Linea Directa,No,2024-05-30,Perito B,Málaga,26,22,4724,2.6
Generali,Si,2024-07-19,Perito A,Barcelona,57,43,1700,3.4
Allianz,No,2024-11-09,Perito C,Málaga,27,39,485,3.7
AXA,Si,2024-04-01,Perito A,Madrid,32,37,7511,6.5
Mapfre,No,2024-02-01,Perito D,Madrid,56,48,3695,5.9
AXA,No,2024-07-28,Perito D,Valencia,21,17,7386,4.7
Allianz,Si,2024-08-31,Perito C,Zaragoza,30,44,2265,1.5
Generali,Si,2025-05-25,Perito C,Barcelona,43,48,968,3.9
Generali,No,2024-01-26,Perito B,Sevilla,25,46,6933,4.8
Generali,Si,2024-10-10,Perito B,Zaragoza,45,43,5690,5.3
Linea Directa,Si,2024-07-11,Perito D,Sevilla,26,23,7542,4.7
Allianz,No,2024-03-10,Perito A,Málaga,58,16,3257,4.2
Linea Directa,No,2025-04-29,Perito C,Sevilla,38,21,4489,4.7
Linea Directa,Si,2024-03-25,Perito B,Sevilla,25,19,6845,5.4
AXA,Si,2024-09-18,Perito D,Madrid,48,22,5283,4.8
Allianz,No,2024-01-02,Perito D,Madrid,58,46,5432,5.4
Allianz,No,2024-07-08,Perito D,Madrid,21,32,2361,4.5
AXA,No,2024-03-03,Perito C,Sevilla,38,32,3493,3.9
Mutua,Si,2025-01-26,Perito C,Málaga,23,30,5997,4.4
Linea Directa,No,2025-03-14,Perito C,Barcelona,25,35,1146,4.4
Generali,Si,2024-05-21,Perito A,Valencia,56,24,5126,3.2
Mapfre,No,2025-05-27,Perito C,Málaga,47,18,6216,5.5
Linea Directa,Si,2025-06-01,Perito D,Madrid,49,22,3535,4.2
Mapfre,Si,2024-10-08,Perito C,Málaga,26,33,7268,5.4
AXA,No,2025-06-15,Perito A,Barcelona,28,23,4350,4.4
Mapfre,Si,2025-03-17,Perito A,Zaragoza,44,44,5095,4.5
Mutua,No,2025-05-24,Perito D,Madrid,52,31,5073,4.8
Allianz,Si,2024-04-22,Perito B,Barcelona,20,29,1681,4.1
Generali,Si,2024-02-22,Perito C,Zaragoza,25,18,2101,1.5
Mapfre,Si,2025-02-23,Perito C,Valencia,37,20,6505,5.5
Mapfre,No,2024-08-17,Perito A,Málaga,29,30,3651,3.6
AXA,No,2025-03-22,Perito A,Valencia,47,40,4264,4.4
AXA,Si,2025-06-24,Perito B,Sevilla,30,37,6430,6.9
Allianz,No,2025-05-10,Perito A,Málaga,52,27,254,3.7
Generali,Si,2024-04-07,Perito A,Zaragoza,20,31,7843,6.2
Mapfre,No,2024-08-14,Perito A,Sevilla,32,41,2023,4.4
Allianz,No,2025-01-16,Perito A,Barcelona,56,36,5497,7.6
Generali,Si,2024-02-25,Perito B,Sevilla,39,33,3662,4.0
Allianz,Si,2025-03-05,Perito C,Zaragoza,20,49,7716,3.8
Mapfre,Si,2025-01-17,Perito C,Zaragoza,22,27,3279,1.3
AXA,No,2024-10-09,Perito C,Barcelona,37,28,1032,3.1
AXA,Si,2024-11-11,Perito C,Valencia,33,45,4608,3.0
AXA,Si,2024-06-09,Perito C,Madrid,50,16,3006,4.6
Mutua,No,2025-02-15,Perito D,Valencia,46,28,6154,5.6
Allianz,No,2025-02-17,Perito D,Sevilla,36,23,6303,4.6
Mapfre,Si,2024-12-18,Perito A,Barcelona,48,24,6302,5.8
Allianz,Si,2024-11-19,Perito D,Sevilla,55,21,2690,1.0
AXA,No,2024-05-16,Perito C,Zaragoza,56,42,6086,4.7
Linea Directa,No,2024-05-11,Perito A,Madrid,45,39,527,4.6
Linea Directa,No,2024-10-18,Perito C,Málaga,36,42,7421,5.9
Allianz,No,2025-05-06,Perito C,Málaga,41,16,7104,5.0
Generali,Si,2024-11-24,Perito A,Málaga,44,31,3510,3.2
Linea Directa,Si,2024-01-24,Perito C,Sevilla,21,18,3500,5.1
Linea Directa,No,2024-08-28,Perito D,Málaga,41,27,6922,3.4
Allianz,Si,2025-05-25,Perito A,Barcelona,24,32,7418,7.3
Mutua,Si,2024-07-18,Perito B,Madrid,23,17,7976,6.3
Mutua,Si,2024-06-14,Perito B,Zaragoza,55,47,3875,3.2
AXA,No,2025-01-20,Perito B,Valencia,25,38,3254,6.3
Mapfre,Si,2024-04-25,Perito C,Zaragoza,40,22,5583,3.8
Generali,No,2024-09-18,Perito C,Barcelona,32,49,7785,5.7
Mapfre,Si,2025-05-06,Perito C,Madrid,56,16,2343,4.0
Mapfre,No,2024-10-05,Perito C,Valencia,44,47,5407,5.7
Generali,No,2025-02-12,Perito A,Málaga,45,26,7445,6.5
Mutua,No,2024-11-13,Perito B,Valencia,58,36,1511,3.0
Linea Directa,Si,2024-12-22,Perito D,Sevilla,39,27,3391,3.3
AXA,Si,2024-12-29,Perito A,Sevilla,52,24,7157,3.2
Allianz,Si,2024-08-18,Perito B,Málaga,33,31,2738,4.3
Mutua,Si,2025-03-28,Perito B,Málaga,55,19,4183,4.2
AXA,Si,2024-10-07,Perito A,Barcelona,36,23,4747,2.9
Linea Directa,No,2024-01-07,Perito A,Barcelona,40,27,5819,5.7
Mutua,Si,2024-12-21,Perito A,Zaragoza,35,37,364,3.9
Generali,Si,2025-02-09,Perito D,Sevilla,35,44,4477,2.8
Mapfre,Si,2025-02-22,Perito B,Madrid,39,18,6812,5.2
Generali,Si,2025-03-28,Perito D,Barcelona,48,35,5205,5.6
Linea Directa,No,2025-02-04,Perito D,Madrid,47,23,7078,5.3
Allianz,No,2024-05-17,Perito D,Zaragoza,27,21,1022,1.0
Generali,No,2025-01-23,Perito D,Sevilla,43,30,1143,4.3
Linea Directa,No,2024-02-05,Perito D,Barcelona,22,37,6297,5.2
Mapfre,Si,2024-08-16,Perito A,Madrid,44,37,6350,5.6
Mutua,No,2024-11-30,Perito D,Zaragoza,38,45,4625,3.8
AXA,Si,2024-05-01,Perito C,Madrid,52,19,974,2.8
Linea Directa,No,2025-05-21,Perito A,Barcelona,21,20,2398,4.4
Linea Directa,No,2024-09-13,Perito B,Málaga,34,15,3356,3.9
Allianz,Si,2024-12-14,Perito B,Zaragoza,41,42,4442,2.5
Mutua,Si,2024-03-25,Perito A,Zaragoza,29,32,3895,5.2
Linea Directa,No,2025-03-04,Perito D,Valencia,37,38,3652,4.9
Linea Directa,Si,2024-03-31,Perito A,Málaga,41,27,1114,3.4
AXA,Si,2025-01-25,Perito B,Zaragoza,46,47,5867,4.5
Mapfre,Si,2024-11-23,Perito B,Valencia,32,24,1508,1.0
Generali,No,2024-10-17,Perito A,Madrid,52,21,7043,8.0
Mutua,No,2025-05-31,Perito C,Barcelona,24,46,4377,5.0
AXA,No,2025-03-18,Perito C,Zaragoza,45,36,713,4.6
AXA,No,2025-04-04,Perito C,Sevilla,32,30,2120,5.4
Generali,Si,2024-12-15,Perito B,Barcelona,46,38,7158,5.1
Mutua,Si,2024-02-06,Perito C,Málaga,33,28,7052,2.1
Mutua,Si,2025-03-06,Perito C,Valencia,43,25,6235,4.3
Mapfre,Si,2024-04-16,Perito A,Barcelona,22,33,3794,3.6
Mutua,No,2025-03-31,Perito D,Valencia,49,37,5041,3.6
Linea Directa,Si,2024-03-25,Perito D,Málaga,54,48,7366,3.7
Generali,No,2024-02-18,Perito A,Málaga,33,27,1609,5.0
Mutua,No,2024-11-12,Perito D,Barcelona,31,42,5002,5.6
Mapfre,No,2024-06-26,Perito C,Zaragoza,47,30,4766,6.1
AXA,Si,2024-07-22,Perito B,Sevilla,48,42,3390,2.3
Linea Directa,Si,2024-05-15,Perito C,Zaragoza,36,18,4691,4.7
Mutua,No,2024-03-30,Perito A,Sevilla,59,42,1755,4.9
Generali,No,2025-04-13,Perito D,Valencia,40,26,6604,5.4
Mutua,Si,2025-05-25,Perito A,Barcelona,42,30,1004,4.9
Allianz,No,2025-03-27,Perito A,Madrid,39,34,5229,7.1
Mapfre,Si,2025-03-29,Perito C,Málaga,30,40,1479,1.0
AXA,No,2024-08-07,Perito D,Zaragoza,53,40,6053,3.9
Allianz,No,2025-04-20,Perito B,Valencia,29,36,5200,5.7
Generali,Si,2024-10-17,Perito C,Málaga,29,23,7593,5.0
Mutua,Si,2024-03-03,Perito A,Valencia,25,19,5372,5.3
Mapfre,No,2024-11-22,Perito A,Barcelona,55,31,7283,7.1
Linea Directa,No,2025-01-23,Perito D,Valencia,43,48,6186,4.0
Mutua,Si,2024-10-24,Perito A,Valencia,31,16,5819,3.6
Mutua,No,2025-05-23,Perito A,Madrid,42,21,3777,4.1
Mutua,No,2024-05-30,Perito C,Valencia,46,27,3101,4.6
Linea Directa,No,2025-06-24,Perito D,Sevilla,56,34,1587,1.6
Mutua,No,2024-11-12,Perito C,Valencia,25,44,5599,4.9
Mapfre,No,2024-06-27,Perito B,Valencia,20,44,4888,4.5
Linea Directa,No,2025-01-11,Perito A,Barcelona,25,25,2961,6.6
Linea Directa,Si,2024-09-09,Perito C,Valencia,41,45,7525,6.8
Allianz,No,2024-11-09,Perito C,Madrid,43,17,2879,4.6
Generali,Si,2024-05-07,Perito D,Barcelona,44,16,2306,3.8
Linea Directa,No,2024-05-29,Perito A,Málaga,34,17,4423,5.0
Allianz,No,2024-08-10,Perito C,Sevilla,45,29,5031,3.8
Mapfre,Si,2025-01-25,Perito A,Sevilla,27,31,2968,4.7
Generali,Si,2024-02-26,Perito B,Málaga,43,21,4153,3.8
Linea Directa,Si,2025-06-19,Perito A,Valencia,57,19,3386,4.2
AXA,Si,2025-06-02,Perito A,Madrid,25,48,3480,5.6
Allianz,Si,2025-03-12,Perito C,Madrid,54,47,2773,4.8
Mapfre,No,2024-11-27,Perito D,Madrid,20,30,4816,4.9
Mapfre,Si,2025-05-13,Perito D,Madrid,55,17,2799,4.5
Mapfre,Si,2024-12-17,Perito D,Valencia,31,35,4233,2.7
Generali,Si,2025-04-13,Perito B,Málaga,57,22,436,1.0
Mutua,No,2024-10-04,Perito B,Málaga,30,36,1504,4.0
AXA,No,2024-09-19,Perito C,Sevilla,31,19,3630,5.6
Generali,No,2024-07-02,Perito D,Málaga,58,31,7568,4.4
Generali,Si,2024-04-29,Perito B,Madrid,26,28,6077,3.4
Linea Directa,No,2024-09-07,Perito D,Valencia,30,42,1501,3.1
Allianz,No,2024-07-20,Perito D,Barcelona,55,45,7602,5.0
AXA,No,2024-09-18,Perito B,Barcelona,50,31,2741,4.3
Mapfre,No,2024-12-03,Perito D,Madrid,52,49,2251,4.3
Generali,Si,2025-05-14,Perito A,Zaragoza,32,36,7009,1.9
AXA,Si,2024-10-30,Perito C,Sevilla,37,43,641,1.8
Allianz,Si,2024-01-04,Perito B,Barcelona,43,24,2276,3.4
Mutua,Si,2024-01-19,Perito B,Zaragoza,28,32,3380,5.0
AXA,Si,2024-05-21,Perito D,Madrid,50,49,2857,3.3
Mapfre,Si,2025-03-05,Perito B,Valencia,29,30,3998,5.5
Generali,Si,2024-08-18,Perito A,Barcelona,21,21,1004,5.1
Mutua,Si,2024-10-30,Perito D,Madrid,57,44,274,3.0
Allianz,No,2025-03-16,Perito A,Barcelona,34,33,7181,7.3
Mapfre,No,2024-10-02,Perito C,Valencia,22,37,7513,5.8
Mutua,Si,2025-01-27,Perito C,Málaga,50,22,2375,2.9
Linea Directa,Si,2025-02-23,Perito A,Málaga,25,31,4124,2.4
Linea Directa,No,2025-06-14,Perito D,Valencia,22,35,2289,3.6
Allianz,No,2025-01-13,Perito C,Valencia,30,40,5675,5.0
Mapfre,No,2025-02-04,Perito D,Málaga,34,42,240,2.8
Generali,Si,2024-09-30,Perito D,Valencia,47,47,7277,5.7
Allianz,No,2025-05-22,Perito C,Valencia,29,33,2281,3.6
Mutua,Si,2024-01-03,Perito C,Valencia,57,43,7384,3.4
Mapfre,No,2024-01-08,Perito A,Málaga,26,34,5996,4.9
Linea Directa,No,2024-01-31,Perito D,Málaga,34,34,7520,5.8
Linea Directa,Si,2025-05-28,Perito A,Zaragoza,37,24,7341,5.2
AXA,No,2025-02-02,Perito B,Barcelona,37,26,5697,5.9
Mapfre,Si,2025-02-25,Perito B,Málaga,43,47,4883,2.3
Mutua,No,2024-09-07,Perito B,Barcelona,21,39,1822,5.8
Mutua,Si,2024-07-20,Perito B,Málaga,59,39,7996,4.1
AXA,Si,2024-10-26,Perito C,Sevilla,39,18,541,2.5
Mutua,Si,2025-05-27,Perito C,Barcelona,53,18,4252,4.3
Mapfre,No,2024-09-07,Perito A,Valencia,45,23,2274,2.7
Linea Directa,Si,2025-02-01,Perito C,Sevilla,26,29,7654,4.9
Allianz,No,2024-05-08,Perito C,Zaragoza,57,40,845,2.1
Linea Directa,No,2024-09-02,Perito C,Málaga,49,29,5026,5.0
Linea Directa,Si,2024-11-26,Perito B,Málaga,24,40,4463,3.0
Mapfre,Si,2024-01-07,Perito A,Zaragoza,30,42,809,2.6
Mutua,No,2025-01-31,Perito D,Sevilla,20,21,6611,5.4
AXA,No,2024-03-24,Perito D,Madrid,53,46,6068,4.3
AXA,Si,2024-10-06,Perito D,Valencia,20,26,6336,6.7
Generali,No,2024-01-03,Perito B,Barcelona,38,49,7164,5.5
AXA,Si,2024-10-14,Perito C,Sevilla,21,46,654,2.9
AXA,Si,2024-12-06,Perito C,Barcelona,40,23,3153,5.0
Mutua,Si,2024-02-16,Perito D,Málaga,39,28,1908,3.7
Allianz,No,2024-06-07,Perito D,Madrid,42,27,3672,4.1
Allianz,No,2025-02-06,Perito A,Zaragoza,40,47,3169,3.8
Mutua,No,2024-12-07,Perito B,Madrid,43,46,3228,6.2
AXA,No,2024-03-07,Perito C,Barcelona,23,33,7843,7.2
Mapfre,Si,2024-02-11,Perito D,Zaragoza,31,44,4997,3.7
Linea Directa,No,2024-02-12,Perito D,Málaga,41,30,2881,4.9
Linea Directa,Si,2024-03-03,Perito A,Zaragoza,39,26,3829,3.9
Allianz,Si,2024-02-13,Perito C,Zaragoza,37,24,5895,4.1
Mutua,No,2024-11-05,Perito C,Madrid,20,16,4425,6.8
Mapfre,No,2024-06-23,Perito A,Valencia,49,32,3267,4.8
AXA,No,2025-03-15,Perito A,Málaga,52,27,6141,4.5
Mutua,Si,2025-05-25,Perito C,Sevilla,43,43,1586,1.6
Allianz,No,2025-03-28,Perito A,Sevilla,33,38,3976,4.6
Mapfre,Si,2024-05-01,Perito D,Sevilla,55,26,3066,2.9
Mapfre,Si,2024-05-20,Perito C,Valencia,24,43,4988,4.6
Allianz,No,2025-01-14,Perito B,Málaga,30,36,3563,6.6
Mapfre,No,2025-06-10,Perito C,Zaragoza,43,15,5690,4.7
Linea Directa,No,2024-03-06,Perito A,Barcelona,50,48,5089,4.8
Allianz,Si,2024-12-12,Perito B,Barcelona,32,48,4324,2.8
Linea Directa,Si,2025-02-12,Perito D,Málaga,35,47,348,1.4
Mutua,No,2024-05-09,Perito D,Valencia,43,18,4050,3.8
Generali,No,2024-08-30,Perito D,Málaga,32,44,5615,5.0
AXA,Si,2025-02-19,Perito A,Barcelona,43,34,2258,6.7
Mutua,No,2025-06-03,Perito C,Málaga,45,40,7879,6.2
Linea Directa,No,2024-12-03,Perito A,Sevilla,21,29,7019,5.9
AXA,Si,2025-01-21,Perito C,Zaragoza,35,21,1336,3.4
AXA,Si,2024-10-20,Perito A,Málaga,57,21,386,1.0
Linea Directa,No,2025-03-31,Perito D,Zaragoza,20,43,3054,3.8
Linea Directa,Si,2025-02-11,Perito A,Madrid,30,37,7087,4.2
Allianz,No,2024-12-27,Perito C,Málaga,54,48,1450,4.9
Generali,Si,2024-02-22,Perito D,Barcelona,48,34,1533,1.7
Linea Directa,Si,2024-04-08,Perito D,Barcelona,56,29,4393,5.0
AXA,Si,2025-05-28,Perito B,Zaragoza,36,47,4350,4.3
AXA,Si,2024-05-31,Perito C,Barcelona,58,31,6966,6.8
Mutua,No,2024-09-19,Perito B,Sevilla,47,34,2911,3.0
Generali,Si,2025-06-12,Perito B,Barcelona,48,27,5053,4.6
Generali,No,2025-02-06,Perito B,Madrid,22,38,4701,6.5
AXA,Si,2025-06-22,Perito D,Málaga,29,21,6412,4.0
Generali,No,2025-06-18,Perito B,Valencia,33,22,7679,6.1
Mutua,Si,2025-04-15,Perito C,Barcelona,31,37,5608,5.6
Allianz,Si,2024-03-11,Perito C,Málaga,49,28,1985,2.3
AXA,No,2025-05-05,Perito B,Sevilla,51,18,7915,4.7
Mapfre,Si,2025-02-21,Perito B,Málaga,51,35,950,1.5
AXA,No,2024-05-29,Perito B,Barcelona,51,24,7515,6.4
AXA,No,2025-02-02,Perito B,Barcelona,45,36,7834,5.9
Allianz,Si,2024-10-03,Perito B,Zaragoza,20,44,1962,2.4
Linea Directa,Si,2024-02-21,Perito B,Barcelona,21,44,7611,5.5
Linea Directa,No,2025-04-27,Perito A,Madrid,36,30,7858,8.6
Mapfre,Si,2024-02-20,Perito D,Málaga,49,25,4120,1.8
Mapfre,Si,2025-05-07,Perito D,Zaragoza,58,36,7301,3.2
Mapfre,No,2024-01-01,Perito D,Valencia,26,43,7874,5.1
Linea Directa,Si,2024-04-20,Perito B,Madrid,46,39,4660,3.5
Allianz,Si,2024-05-11,Perito A,Valencia,28,28,6322,1.6
Generali,Si,2025-04-20,Perito D,Barcelona,41,28,681,2.1
Mapfre,Si,2024-03-08,Perito C,Valencia,53,16,6544,3.9
Generali,Si,2025-01-31,Perito D,Valencia,20,27,353,1.8
Mutua,No,2024-01-05,Perito D,Madrid,28,17,7817,5.1
Allianz,Si,2024-03-15,Perito D,Madrid,39,44,1724,4.7
Generali,Si,2025-02-25,Perito D,Málaga,38,32,2320,3.1
Linea Directa,No,2025-03-22,Perito C,Valencia,55,35,7056,4.2
Linea Directa,Si,2024-05-10,Perito B,Madrid,59,33,2543,3.2
Mapfre,No,2024-12-19,Perito C,Málaga,23,30,5336,4.1
Mapfre,No,2024-11-20,Perito C,Valencia,28,42,5960,3.9
Generali,Si,2024-04-11,Perito B,Valencia,41,18,1440,3.6
Linea Directa,Si,2024-08-31,Perito C,Zaragoza,37,29,260,1.0
Generali,No,2024-06-04,Perito C,Barcelona,31,15,1138,4.5
Mutua,Si,2025-05-02,Perito D,Madrid,58,30,1839,2.6
Allianz,No,2024-07-22,Perito D,Sevilla,28,34,6385,4.4
Linea Directa,Si,2024-08-21,Perito B,Zaragoza,25,47,4320,4.5
AXA,Si,2024-02-05,Perito D,Madrid,38,31,5358,4.6
Linea Directa,No,2024-02-03,Perito B,Zaragoza,26,19,4426,4.8
Mutua,No,2024-01-01,Perito B,Barcelona,35,19,3769,5.6
Linea Directa,No,2025-05-06,Perito A,Zaragoza,24,27,1452,4.5
Mutua,No,2025-02-19,Perito B,Zaragoza,35,44,4403,3.4
Linea Directa,No,2024-02-13,Perito C,Málaga,20,18,371,2.4
Mutua,No,2024-11-12,Perito B,Madrid,56,37,1658,4.9
Mapfre,No,2024-08-13,Perito A,Valencia,58,35,3749,4.0
Generali,No,2024-09-23,Perito C,Sevilla,38,35,4397,4.1
Linea Directa,No,2024-12-12,Perito A,Málaga,56,20,7209,6.2
Allianz,No,2024-11-08,Perito D,Madrid,36,38,6867,6.9
Mapfre,Si,2024-10-18,Perito C,Málaga,45,45,2522,3.7
Mutua,Si,2024-04-07,Perito B,Valencia,41,33,1836,4.2
Allianz,No,2024-01-03,Perito A,Zaragoza,27,26,3315,4.8
Mapfre,Si,2024-10-01,Perito B,Sevilla,52,28,4290,3.5
AXA,No,2024-04-27,Perito D,Valencia,21,26,7160,4.2
Linea Directa,Si,2024-05-30,Perito C,Sevilla,49,29,3204,3.6
Linea Directa,Si,2025-05-06,Perito B,Málaga,39,33,5336,5.0
Mutua,Si,2024-02-01,Perito D,Zaragoza,37,42,529,1.1
Mapfre,Si,2024-02-25,Perito B,Zaragoza,29,19,3840,3.7
Mapfre,Si,2025-06-09,Perito C,Madrid,43,19,4094,5.5
